trial_id,sentence_id,sentence,inclusion,ent_text,ent_type
1,1,Patients diagnosed with type 2 diabetes mellitus ,1,type 2 diabetes mellitus,PROBLEM
1,2,Patients have treated with diet/exercise at least 3 months ,1,,
1,3,"7.5% ≤HbA1C ≤11.0% at screening,7.0% ≤HbA1C ≤10.5% after run-in ",1,HbA1C,TEST
1,3,"7.5% ≤HbA1C ≤11.0% at screening,7.0% ≤HbA1C ≤10.5% after run-in ",1,screening,TEST
1,3,"7.5% ≤HbA1C ≤11.0% at screening,7.0% ≤HbA1C ≤10.5% after run-in ",1,HbA1C,TEST
1,4,Patient has history of type 1 diabetes mellitus ,0,type 1 diabetes mellitus,PROBLEM
1,5,Patient has history of ketoacidosis ,0,ketoacidosis,PROBLEM
1,6,Patient has history of severe unconscious hypoglycemosis ,0,severe unconscious hypoglycemosis,PROBLEM
1,7,Patient has history of acute and chronic pancreatitis or pancreatic injury that may lead to high risk of pancreatitis ,0,acute and chronic pancreatitis,PROBLEM
1,7,Patient has history of acute and chronic pancreatitis or pancreatic injury that may lead to high risk of pancreatitis ,0,pancreatic injury,PROBLEM
1,7,Patient has history of acute and chronic pancreatitis or pancreatic injury that may lead to high risk of pancreatitis ,0,pancreatitis,PROBLEM
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0,decompensated heart failure,PROBLEM
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0,unstable angina,PROBLEM
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0,stroke,PROBLEM
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0,transient ischemic attack,PROBLEM
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0,myocardial infarction,PROBLEM
1,9,"Patient has history of a history of hypertension, and after antihypertensive treatment, systolic blood pressure ≥ 160 mmHg or diastolic blood pressure ≥ 100 mmHg ",0,hypertension,PROBLEM
1,9,"Patient has history of a history of hypertension, and after antihypertensive treatment, systolic blood pressure ≥ 160 mmHg or diastolic blood pressure ≥ 100 mmHg ",0,antihypertensive treatment,TREATMENT
1,9,"Patient has history of a history of hypertension, and after antihypertensive treatment, systolic blood pressure ≥ 160 mmHg or diastolic blood pressure ≥ 100 mmHg ",0,systolic blood pressure,TEST
1,9,"Patient has history of a history of hypertension, and after antihypertensive treatment, systolic blood pressure ≥ 160 mmHg or diastolic blood pressure ≥ 100 mmHg ",0,diastolic blood pressure,TEST
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,severe liver,PROBLEM
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,kidney disease,PROBLEM
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,alanine aminotransferase,TEST
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,Aspartate Aminotransferase,TEST
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,；total bilirubin,TEST
