trial_id,sentence_id,sentence,inclusion
1,1,Patients diagnosed with type 2 diabetes mellitus ,1
1,2,Patients have treated with diet/exercise at least 3 months ,1
1,3,"7.5% ≤HbA1C ≤11.0% at screening,7.0% ≤HbA1C ≤10.5% after run-in ",1
1,4,Patient has history of type 1 diabetes mellitus ,0
1,5,Patient has history of ketoacidosis ,0
1,6,Patient has history of severe unconscious hypoglycemosis ,0
1,7,Patient has history of acute and chronic pancreatitis or pancreatic injury that may lead to high risk of pancreatitis ,0
1,8,"Patient has history of decompensated heart failure (NYHA class III and IV), unstable angina, stroke or transient ischemic attack, myocardial infarction, persistence and clinical ",0
1,9,"Patient has history of a history of hypertension, and after antihypertensive treatment, systolic blood pressure ≥ 160 mmHg or diastolic blood pressure ≥ 100 mmHg ",0
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0
1,11,"Patient has severe chronic gastrointestinal disease or therapy that may affect drug absorption, such as gastrointestinal surgery ",0
1,12,Patient has severe haematological diseases or other diseases leading to hemolyze and red blood cell unstable (malaria、haemolytic anaemia eg. ) ,0
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0
1,14,Patient has history of malignancy ,0
1,15,Patient has history of alcohol or drug abuse,0
2,16,"males and females of any race and ethnicity with T2DM, HbA1c of ≥6.5% and ≤10.0% on diet only ",1
2,17,take stable doses of oral antihyperglycemic agents with or without long-acting insulin ,1
2,18,must have a regular primary care provider (PCP) that is amenable to patient study participation and will facilitate (blinded to the treatment) the research team's study protocol efforts ,1
2,19,type 1 diabetes mellitus (T1DM) ,0
2,20,current or recent glucagon-like peptide 1 receptor (GLP-1R) agonist use ,0
2,21,"contraindications to MRI (e.g., claustrophobia, ferromagnetic materials, body habitus inappropriate for MRI exam) ",0
2,22,"screening carotid ultrasound plaque thickness of <0.75 mm, prior or anticipated carotid stenting or endarterectomy ",0
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0
2,24,patients with Multiple Endocrine Neoplasia syndrome type 2 ,0
2,25,serious hypersensitivity to exenatide or any product components ,0
2,26,"severe gastrointestinal disease, or pregnancy",0
3,27,Participants with a diagnosis of type 2 diabetes mellitus (T2DM) ,1
3,28,Random C-peptide at screening greater than (>)0.6 nanogram/milliliter (ng/mL) (>0.2 nanomole/liter [nmol]/L]) ,1
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0
